用户编码,姓名,经历序号,起始时间（YYYY-MM-DD）,终止时间（（YYYY-MM-DD））,是否全国性组织,是否中央派出,一级关键词编码,地方一级关键词,二级关键词编码,地方二级关键词,地区级别,录入信息备注,地方三级关键词,基本大类别,职务一级关键词编码,职务一级关键词,录入信息备注,职务二级关键词,职务三级关键词,具体职务,级别,标志位,学历,序号
343,王旭东,5,11/1/1974,11/1/1976,是,否,840000,中央,,,,,,政府_国务院,2711,国家国防科学技术工业局（委员会）,,1418研究所,,副书记,副处,无,高中,5
343,王旭东,6,11/1/1976,10/1/1978,是,否,840000,中央,,,,,,政府_国务院,2716,电子工业(第四工业)部/厅/局,,第十八研究所,,副书记,副厅,无,高中,6
343,王旭东,7,10/1/1978,3/1/1983,是,否,840000,中央,,,,,,政府_国务院,2716,电子工业(第四工业)部/厅/局,,,,所长,正厅,无,高中,7
343,王旭东,8,2/1/1980,7/1/1982,是,否,840000,中央,,,,,,学校,80001,中央党校,,,,学员,正厅,学校,高中,8
343,王旭东,9,2/1/1980,7/1/1982,是,否,120000,天津市,,,,,,学校,80182,天津市科学技术进修学院,,工业科技管理系统研究班,,学员,正厅,学校,专科,9
343,王旭东,10,3/1/1983,9/1/1983,否,否,120000,天津市,,,,,,政府_国务院,2606,科学技术部/厅/局（科学技术委员会）,,,,负责人,副部,省常委（其他）,专科,10
343,王旭东,11,9/1/1983,12/1/1991,否,否,120000,天津市,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,专科,11
343,王旭东,12,9/1/1983,12/1/1991,否,否,120000,天津市,,,,,,党委,1302,组织部 （党委）,,,,部长,副部,省组织部长,专科,12
343,王旭东,13,10/1/1991,8/1/1993,否,否,120000,天津市,,,,,,党委,1300,党委常委会/政治局 ,,,,副书记,副部,省委副书记（非省长）,专科,13
343,王旭东,14,8/1/1993,6/1/2000,是,否,840000,中央,,,,,,党委,1302,组织部 （党委）,,,,副部长,副部,无,专科,14
343,王旭东,15,6/1/2000,11/1/2002,否,否,130000,河北省,,,,,,党委,1300,党委常委会/政治局 ,,,,书记,正部,省委书记,专科,15
343,王旭东,16,11/1/2002,3/1/2003,是,否,840000,中央,,,,,,政府_国务院,2628,工业和信息化（信息产业）部/厅/局,,,,副部长、党组书记,正部,无,专科,16
343,王旭东,17,3/1/2003,3/1/2008,是,否,840000,中央,,,,,,政府_国务院,2628,工业和信息化（信息产业）部/厅/局,,,,部长、党组书记,正部,无,专科,17
343,王旭东,18,3/1/2008,4/1/2008,是,否,840000,中央,,,,,,政府_国务院,2628,工业和信息化（信息产业）部/厅/局,,,,副部长,正部,无,专科,18
343,王旭东,19,6/1/2003,4/1/2008,是,否,840000,中央,,,,,,政府_国务院,2787,信息化工作办公室/信息化领导小组,,,,主任,正部,无,专科,19
343,王旭东,20,4/1/2008,6/1/2011,是,否,840000,中央,,,,,,政府_国务院,2709,国家电力监管委员会,,,,主席,正部,无,专科,20
343,王旭东,21,6/1/2011,7/1/2015,是,否,840000,中央,,,,,,政协,1106,政协社会和法制委员会,,,,副主任,正部,无,专科,21
344,田向利,1,9/1/1981,7/1/1984,是,否,130000,河北省,,,,,,学校,80187,张家口师范专科学校,,中文系,中文专业,学生,无级别,学校,专科,1
344,田向利,2,7/1/1984,11/1/1985,否,否,130000,河北省,130100,石家庄市,地级市（区）,,桥西区,基层组织,3626,南长街办事处,,,,干事,小于副处,无,专科,2
344,田向利,3,11/1/1985,5/1/1992,否,否,130000,河北省,130100,石家庄市,地级市（区）,,桥西区,共青团,4600,共青团委,,,,书记,小于副处,无,专科,3
344,田向利,4,5/1/1992,2/1/1995,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,共青团,4600,共青团委,,,,副书记,副处,无,专科,4
344,田向利,5,8/1/1992,12/1/1994,是,否,840000,中央,,,,,,学校,80001,中央党校,,函授学院,经济专业,学员,副处,学校,本科,5
344,田向利,6,10/1/1993,11/1/1994,是,否,840000,中央,,,,,,共青团,4635,青年工作部（青工部）,,财贸处,,挂职副处长,副处,无,本科,6
344,田向利,7,2/1/1995,5/1/1995,否,否,130000,河北省,130100,石家庄市,地级市（区）,,桥西区,政府_国务院,2600,政府/国务院（综合）,,,,负责人,正处,无,本科,7
344,田向利,8,5/1/1995,9/1/1996,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,共青团,4600,共青团委,,,,书记,正处,无,本科,8
344,田向利,9,3/1/1996,6/1/1999,是,否,220000,吉林省,,,,,,学校,22001,吉林大学,,经济管理学院,国民经济学专业,学员,副厅,学校,硕士,9
344,田向利,10,9/1/1996,11/1/1999,否,是,130000,河北省,,,,,,共青团,4600,共青团委,,,,副书记,副厅,无,硕士,10
344,田向利,11,9/1/1998,1/1/1999,是,否,840000,中央,,,,,,学校,80001,中央党校,,进修部,,学员,副厅,学校,硕士,11
344,田向利,12,11/1/1999,6/1/2001,否,否,130000,河北省,,,,,,共青团,4604,青年联合会,,,,主席,正厅,无,硕士,12
344,田向利,13,11/1/1999,6/1/2001,否,是,130000,河北省,,,,,,共青团,4600,共青团委,,,,副书记,正厅,无,硕士,13
344,田向利,14,6/1/2001,3/1/2003,否,是,130000,河北省,,,,,,共青团,4600,共青团委,,,,书记,正厅,无,硕士,14
344,田向利,15,9/1/2001,7/1/2004,是,否,120000,天津市,,,,,,学校,12002,天津大学,,管理学院,管理科学与工程专业,学员,正厅,学校,博士,15
344,田向利,16,3/1/2003,4/1/2005,否,否,130000,河北省,130200,唐山市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,副书记,正厅,市委副书记（专职）,博士,16
344,田向利,17,4/1/2005,11/1/2006,否,否,130000,河北省,,,,,,党委,1304,统战部（党委）,,,,常务副书记,正厅,无,博士,17
344,田向利,18,11/1/2006,3/1/2008,否,否,130000,河北省,,,,,,政府_国务院,2613,人事部/厅/局,,,,厅长,正厅,无,博士,18
344,田向利,19,11/1/2006,3/1/2008,否,否,130000,河北省,,,,,,党委,1302,组织部 （党委）,,,,副部长,正厅,无,博士,19
344,田向利,20,11/1/2006,3/1/2008,否,否,130000,河北省,,,,,,党委,1311,机构编制委员会,,办公室,,主任,正厅,秘书,博士,20
344,田向利,21,3/1/2008,1/1/2012,否,否,130000,河北省,,,,,,政协,1100,政协常委会,,,,副主席,副部,无,博士,21
344,田向利,22,11/1/2011,7/1/2013,否,否,130000,河北省,,,,,,党委,1304,统战部（党委）,,,,部长,副部,省常委（其他）,博士,22
344,田向利,23,11/1/2011,7/1/2015,否,否,130000,河北省,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,博士,23
344,田向利,24,2/1/2013,7/1/2015,否,否,130000,河北省,130300,秦皇岛市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,副部,市委书记,博士,24
345,张越,1,10/1/1979,8/1/1980,是,否,110000,北京市,,,,,,学校,80138,北京市公安学校,,,,学生,无级别,学校,专科,1
345,张越,2,8/1/1980,5/1/1984,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,,,民警,小于副处,无,专科,2
345,张越,3,5/1/1984,4/1/1988,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,北京站地区,,审查科民警、副科长,小于副处,无,专科,3
345,张越,4,4/1/1988,8/1/1993,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,一处,,副科长,小于副处,无,专科,4
345,张越,5,8/1/1993,11/1/1995,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,一处,,副处长(正科级）,小于副处,无,专科,5
345,张越,6,11/1/1995,8/1/1996,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,一处,,副处长,副处,无,专科,6
345,张越,7,8/1/1996,12/1/1996,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,一处,,副处长(正处级）,正处,无,专科,7
345,张越,8,8/1/1996,12/1/1998,是,否,840000,中央,,,,,,学校,80001,中央党校,,函授学院,政法专业,学员,正处,学校,本科,8
345,张越,9,12/1/1996,10/1/1998,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,一处,,处长,正处,无,本科,9
345,张越,10,10/1/1998,9/1/2000,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,,,局长助理,正处,无,本科,10
345,张越,11,10/1/1998,9/1/2000,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,国内安全保卫处,,处长,正处,无,本科,11
345,张越,12,9/1/1999,7/1/2002,是,否,840000,中央,,,,,,学校,80001,中央党校,,在职研究生班,法律专业,学员,副厅,学校,硕士,12
345,张越,13,9/1/2000,4/1/2001,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,,,局长助理(副厅级),副厅,无,硕士,13
345,张越,14,9/1/2000,4/1/2001,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,国内安全保卫总队,,总队长,副厅,无,硕士,14
345,张越,15,4/1/2001,11/1/2003,否,否,110000,北京市,,,,,,政府_国务院,2609,公安部/厅/局,,,,副局长,副厅,无,硕士,15
345,张越,16,9/1/2003,12/1/2006,是,否,840000,中央,,,,,,学校,80011,科学院,,,管理科学与工程专业,学员,正厅,学校,硕士,16
345,张越,17,11/1/2003,12/1/2007,是,否,840000,中央,,,,,,政府_国务院,2609,公安部/厅/局,,,,局长,正厅,无,硕士,17
345,张越,18,12/1/2007,6/1/2008,否,否,130000,河北省,,,,,,政府_国务院,2609,公安部/厅/局,,,,厅长,正厅,无,硕士,18
345,张越,19,1/1/2008,6/1/2008,否,否,130000,河北省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,省长助理,正厅,无,硕士,19
345,张越,20,6/1/2008,8/1/2013,否,否,130000,河北省,,,,,,政府_国务院,2609,公安部/厅/局,,,,厅长,副部,省常委（其他）,硕士,20
345,张越,21,6/1/2008,3/1/2015,否,否,130000,河北省,,,,,,政府_国务院,2609,公安部/厅/局,,,,党委书记,副部,省常委（其他）,硕士,21
345,张越,22,6/1/2008,7/1/2015,否,否,130000,河北省,,,,,,党委,1306,政法委,,,,政法委书记,副部,省常委（其他）,硕士,22
345,张越,23,12/1/2008,7/1/2015,否,否,130000,河北省,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,硕士,23
346,范照兵,1,2/1/1978,1/1/1982,是,否,420000,湖北省,,,,,,学校,42007,华中农业大学,,农学系,农学专业,学生,无级别,学校,本科,1
346,范照兵,2,1/1/1982,7/1/1987,是,否,840000,中央,,,,,,政府_国务院,2620,农业部/厅/局,,秘书处,,秘书,小于副处,秘书,本科,2
346,范照兵,3,4/1/1986,6/1/1987,否,否,320000,江苏省,320500,苏州市,地级市（区）,,吴县,党委,1363,农村工作部,,,,副部长,小于副处,无,本科,3
346,范照兵,4,7/1/1987,3/1/1989,是,否,840000,中央,,,,,,政府_国务院,2620,农业部/厅/局,,办公厅,部长办公室,副主任,副处,秘书,本科,4
346,范照兵,5,3/1/1989,3/1/1993,是,否,840000,中央,,,,,,政府_国务院,2620,农业部/厅/局,,办公厅,部长办公室,主任,正处,秘书,本科,5
346,范照兵,6,3/1/1993,8/1/1993,是,否,840000,中央,,,,,,政府_国务院,2620,农业部/厅/局,,农民日报社,,副社长,副厅,无,本科,6
346,范照兵,7,8/1/1993,12/1/1997,是,否,840000,中央,,,,,,党委,1310,财经领导小组办公室,,农村组,,副局级干部,副厅,无,本科,7
346,范照兵,8,12/1/1997,5/1/2000,否,否,500000,重庆市,,,,,,党委,1307,党委政策研究室,,,,正局级副主任,正厅,秘书,本科,8
346,范照兵,9,5/1/2000,6/1/2004,否,否,500000,重庆市,,,,,,党委,1300,党委常委会/政治局 ,,,,副秘书长,正厅,秘书,本科,9
346,范照兵,10,5/1/2000,10/1/2005,否,否,500000,重庆市,,,,,,党委,1307,党委政策研究室,,,,主任,正厅,秘书,本科,10
346,范照兵,11,6/1/2004,10/1/2005,否,否,500000,重庆市,,,,,,党委,1301,党委办公厅 /室,,,,主任,副部,省常委（其他）,本科,11
346,范照兵,12,6/1/2004,1/1/2009,否,否,500000,重庆市,,,,,,党委,1314,直属机关工作委员会,,,,书记,副部,省常委（其他）,本科,12
346,范照兵,13,6/1/2004,6/1/2010,否,否,500000,重庆市,,,,,,党委,1300,党委常委会/政治局 ,,,,秘书长,副部,省常委（其他）,本科,13
346,范照兵,14,6/1/2004,7/1/2013,否,否,500000,重庆市,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,本科,14
346,范照兵,15,10/1/2005,6/1/2010,否,否,500000,重庆市,,,,,,党委,1304,统战部（党委）,,,,部长,副部,省常委（其他）,本科,15
346,范照兵,16,7/1/2013,7/1/2015,否,否,130000,河北省,,,,,,党委,1304,统战部（党委）,,,,部长,副部,省常委（其他）,本科,16
347,周本顺,1,4/1/1972,12/1/1975,是,否,220000,吉林省,220100,长春市,副省级城市,,,学校,22003,长春地质学院,,,,学生,无级别,学校,本科,1
347,周本顺,2,12/1/1975,1/1/1985,是,否,430000,湖南省,,,,,,学校,80160,湖南地质学校,,团委,,副书记,小于副处,学校,本科,2
347,周本顺,3,12/1/1975,1/1/1985,否,否,430000,湖南省,,,,,,党委,1416,地质矿产部/厅/局,,政治部,,秘书,小于副处,秘书,本科,3
347,周本顺,4,1/1/1985,4/1/1994,否,否,430000,湖南省,,,,,,党委,1307,党委政策研究室,,,,副处长、处长、副厅级研究院,副厅,秘书,本科,4
347,周本顺,5,9/1/1993,6/1/1996,是,否,430000,湖南省,,,,,,学校,43004,湖南大学,,商学院,管理工程专业,学员,副厅,学校,硕士,5
347,周本顺,6,4/1/1994,12/1/1994,否,否,430000,湖南省,,,,,,党委,1307,党委政策研究室,,,,主任,正厅,秘书,硕士,6
347,周本顺,7,12/1/1994,8/1/1995,否,否,430000,湖南省,430500,邵阳市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,副书记,正厅,市委副书记（专职）,硕士,7
347,周本顺,8,8/1/1995,12/1/2000,否,否,430000,湖南省,430500,邵阳市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,硕士,8
347,周本顺,9,9/1/1999,6/1/2003,是,否,430000,湖南省,,,,,,学校,43004,湖南大学,,商学院,管理工程专业,学员,正厅,学校,博士,9
347,周本顺,10,11/1/2000,11/1/2001,否,否,430000,湖南省,,,,,,政府_国务院,2609,公安部/厅/局,,,,厅长,正厅,无,博士,10
347,周本顺,11,11/1/2001,11/1/2003,否,否,430000,湖南省,,,,,,党委,1306,政法委,,,,政法委书记,副部,省常委（其他）,博士,11
347,周本顺,12,11/1/2001,11/1/2003,否,否,430000,湖南省,,,,,,政府_国务院,2609,公安部/厅/局,,,,厅长,副部,省常委（其他）,博士,12
347,周本顺,13,11/1/2003,3/1/2008,是,否,840000,中央,,,,,,党委,1306,政法委,,,,机关党委书记,副部,无,博士,13
347,周本顺,14,11/1/2003,3/1/2008,是,否,840000,中央,,,,,,党委,1306,政法委,,,,副秘书长,副部,秘书,博士,14
347,周本顺,15,1/1/2005,1/1/2008,是,否,420000,湖北省,,,,,,学校,42001,武汉大学,,,法学专业,学员,副部,学校,博士,15
347,周本顺,16,3/1/2008,3/1/2013,是,否,840000,中央,,,,,,党委,1382,社会治安综合治理委员会,,,,副主任,正部,无,博士,16
347,周本顺,17,3/1/2008,4/1/2013,是,否,840000,中央,,,,,,党委,1306,政法委,,,,秘书长,正部,秘书,博士,17
347,周本顺,18,4/1/2013,7/1/2015,否,否,130000,河北省,,,,,,党委,1300,党委常委会/政治局 ,,,,书记,正部,省委书记,博士,18
348,杨崇勇,1,6/1/1971,8/1/1980,否,否,530000,云南省,530100,昆明市,地级市（区）,,,地方企业,5748,昆明市药材公司,,采购批发站,,工作,无级别,无,高中,1
348,杨崇勇,2,8/1/1980,7/1/1984,是,否,530000,云南省,530100,昆明市,地级市（区）,,,学校,53001,云南大学,,中文系,汉语言文学专业,学生,无级别,学校,本科,2
348,杨崇勇,3,7/1/1984,10/1/1984,否,否,530000,云南省,530100,昆明市,地级市（区）,,宜良县,基层组织,3629,蓬莱区委,,,,干部,小于副处,无,本科,3
348,杨崇勇,4,10/1/1984,3/1/1986,否,否,530000,云南省,530100,昆明市,地级市（区）,,宜良县,党委,1300,党委常委会/政治局 ,,,,常委,小于副处,无,本科,4
348,杨崇勇,5,10/1/1984,3/1/1986,否,否,530000,云南省,530100,昆明市,地级市（区）,,宜良县,基层组织,3629,蓬莱区委,,,,副书记,副处,无,本科,5
348,杨崇勇,6,3/1/1986,12/1/1987,否,否,530000,云南省,530100,昆明市,地级市（区）,,宜良县,党委,1300,党委常委会/政治局 ,,,,副书记,副处,无,本科,6
348,杨崇勇,7,12/1/1987,10/1/1992,否,否,530000,云南省,530100,昆明市,地级市（区）,,宜良县,党委,1300,党委常委会/政治局 ,,,,书记,正处,无,本科,7
348,杨崇勇,8,10/1/1992,3/1/1996,否,否,530000,云南省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,副秘书长,副厅,秘书,本科,8
348,杨崇勇,9,3/1/1996,2/1/1998,否,否,530000,云南省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,秘书长,正厅,秘书,本科,9
348,杨崇勇,10,2/1/1998,12/1/2001,否,否,530000,云南省,530400,玉溪市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,本科,10
348,杨崇勇,11,6/1/1998,2/1/2000,否,否,530000,云南省,530400,玉溪市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,本科,11
348,杨崇勇,12,12/1/2000,12/1/2007,否,否,530000,云南省,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,本科,12
348,杨崇勇,13,2/1/2001,5/1/2003,否,否,530000,云南省,,,,,,党委,1300,党委常委会/政治局 ,,,,秘书长,副部,省常委（其他）,本科,13
348,杨崇勇,14,5/1/2003,12/1/2007,否,否,530000,云南省,530100,昆明市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,副部,市委书记,本科,14
348,杨崇勇,15,12/1/2007,7/1/2015,否,否,130000,河北省,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,本科,15
348,杨崇勇,16,1/1/2008,12/1/2011,否,否,130000,河北省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,副省长,副部,副省长（常委）,本科,16
348,杨崇勇,17,12/1/2011,7/1/2015,否,否,130000,河北省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,常务副省长,副部,副省长（常委）,本科,17
349,张庆伟,1,9/1/1978,8/1/1982,是,否,610000,陕西省,,,,,,学校,61002,西北工业大学,,飞机系,飞机设计专业,学生,无级别,学校,本科,1
349,张庆伟,2,8/1/1982,9/1/1985,是,否,840000,中央,,,,,,政府_国务院,2718,航天工业(第六机械)部/厅/局,,603所,,技术员、助理工程师,小于副处,无,本科,2
349,张庆伟,3,9/1/1985,3/1/1988,是,否,610000,陕西省,,,,,,学校,61002,西北工业大学,,飞机系,飞机设计专业,学生,小于副处,学校,硕士,3
349,张庆伟,4,3/1/1988,10/1/1992,是,否,840000,中央,,,,,,政府_国务院,2718,航天工业(第六机械)部/厅/局,,一院,一部,工程师、高级工程师、主任设计师,正处,无,硕士,4
349,张庆伟,5,10/1/1992,8/1/1996,是,否,840000,中央,,,,,,政府_国务院,2718,航天工业(第六机械)部/厅/局,,一院,一部,副总设计师、副主任,副厅,无,硕士,5
349,张庆伟,6,8/1/1996,6/1/1999,是,否,840000,中央,,,,,,中央企业,5014,中国航天科技集团公司,,一院,,正局级副院长,正厅,无,硕士,6
349,张庆伟,7,8/1/1998,6/1/1999,是,否,840000,中央,,,,,,中央企业,5014,中国航天科技集团公司,,,,总经理助理,正厅,无,硕士,7
349,张庆伟,8,6/1/1999,11/1/2001,是,否,840000,中央,,,,,,中央企业,5014,中国航天科技集团公司,,,,副总经理,正厅,无,硕士,8
349,张庆伟,9,11/1/2001,8/1/2007,是,否,840000,中央,,,,,,中央企业,5014,中国航天科技集团公司,,,,总经理,副部,无,硕士,9
349,张庆伟,10,8/1/2007,3/1/2008,是,否,840000,中央,,,,,,政府_国务院,2711,国家国防科学技术工业局（委员会）,,,,主任,副部,无,硕士,10
349,张庆伟,11,3/1/2008,8/1/2011,是,否,840000,中央,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,副组长,副部,无,硕士,11
349,张庆伟,12,3/1/2008,8/1/2011,是,否,840000,中央,,,,,,中央企业,5066,中国商用飞机有限责任公司,,,,董事长,副部,无,硕士,12
349,张庆伟,13,8/1/2011,7/1/2015,否,否,130000,河北省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,省长,正部,省长,硕士,13
350,姜德果,1,3/1/1976,10/1/1978,否,否,130000,河北省,131100,衡水市,地级市（区）,,阜城县,基层组织,3619,后安公社,,,,通讯报道员,无级别,无,高中,1
350,姜德果,2,10/1/1978,8/1/1982,是,否,130000,河北省,,,,,,学校,80068,河北大学,,中文系,汉语言文学专业,学生,无级别,学校,本科,2
350,姜德果,3,8/1/1982,8/1/1984,否,否,130000,河北省,131100,衡水市,地级市（区）,,,政府_国务院,2662,政府/国务院办公厅,,调研科,,科员,小于副处,秘书,本科,3
350,姜德果,4,8/1/1984,11/1/1985,否,否,130000,河北省,131100,衡水市,地级市（区）,,,政府_国务院,2662,政府/国务院办公厅,,调研科,,秘书,小于副处,秘书,本科,4
350,姜德果,5,11/1/1985,8/1/1986,否,否,130000,河北省,131100,衡水市,地级市（区）,,,党委,1301,党委办公厅 /室,,综合科,,副科级秘书,小于副处,秘书,本科,5
350,姜德果,6,8/1/1986,10/1/1987,否,否,130000,河北省,131100,衡水市,地级市（区）,,,党委,1301,党委办公厅 /室,,综合科,,正科级秘书,小于副处,秘书,本科,6
350,姜德果,7,10/1/1987,9/1/1988,否,否,130000,河北省,131100,衡水市,地级市（区）,,,党委,1307,党委政策研究室,,,,副主任,副处,秘书,本科,7
350,姜德果,8,9/1/1988,6/1/1992,否,否,130000,河北省,131100,衡水市,地级市（区）,,武邑县,党委,1300,党委常委会/政治局 ,,,,副书记,副处,无,本科,8
350,姜德果,9,6/1/1992,2/1/1993,否,否,130000,河北省,131100,衡水市,地级市（区）,,武邑县,政府_国务院,2600,政府/国务院（综合）,,,,县长,正处,无,本科,9
350,姜德果,10,2/1/1993,4/1/1996,否,否,130000,河北省,131100,衡水市,地级市（区）,,武邑县,党委,1300,党委常委会/政治局 ,,,,书记,正处,无,本科,10
350,姜德果,11,4/1/1996,6/1/1996,否,否,130000,河北省,131100,衡水市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,秘书长,正处,秘书,本科,11
350,姜德果,12,6/1/1996,7/1/2001,否,否,130000,河北省,131100,衡水市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,秘书长,副厅,秘书,本科,12
350,姜德果,13,6/1/1996,7/1/2001,否,否,130000,河北省,131100,衡水市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,常委,副厅,市常委（其他）,本科,13
350,姜德果,14,10/1/1999,10/1/2000,是,否,831268,新加坡,,,,,,学校,80122,南洋理工大学,,商学院,管理经济学专业,学员,副厅,学校,硕士,14
350,姜德果,15,7/1/2001,10/1/2004,否,否,130000,河北省,130800,承德市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,副书记,副厅,市委副书记（专职）,硕士,15
350,姜德果,16,7/1/2001,10/1/2004,否,否,130000,河北省,130800,承德市,地级市（区）,,,党委,1308,纪律检查委员会,,,,纪委书记,副厅,市委副书记（专职）,硕士,16
350,姜德果,17,10/1/2004,1/1/2005,否,否,130000,河北省,130500,邢台市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,代市长,正厅,市长,硕士,17
350,姜德果,18,1/1/2005,11/1/2008,否,否,130000,河北省,130500,邢台市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,硕士,18
350,姜德果,19,11/1/2008,12/1/2011,否,否,130000,河北省,130500,邢台市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,硕士,19
350,姜德果,20,12/1/2011,1/1/2012,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,代市长,副部,市长,硕士,20
350,姜德果,21,1/1/2012,1/1/2013,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,副部,市长,硕士,21
350,姜德果,22,1/1/2013,2/1/2013,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,副部,市长,硕士,22
350,姜德果,23,1/1/2013,7/1/2015,否,否,130000,河北省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,副省长,副部,副省长（非常委）,硕士,23
350,姜德果,24,2/1/2013,9/1/2014,否,否,130000,河北省,130200,唐山市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,副部,市委书记,硕士,24
351,董经纬,1,4/1/1968,4/1/1969,是,否,130000,河北省,130100,石家庄市,地级市（区）,,,学校,80175,石家庄化肥工业学校,,,,学生,无级别,学校,专科,1
351,董经纬,2,4/1/1969,5/1/1975,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,地方企业,5756,石家庄焦化厂,,炼焦车间,,统计员,小于副处,无,专科,2
351,董经纬,3,4/1/1969,5/1/1975,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,地方企业,5756,石家庄焦化厂,,车间,,副主任,小于副处,无,专科,3
351,董经纬,4,4/1/1969,5/1/1975,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,地方企业,5756,石家庄焦化厂,,,,团支部书记,小于副处,无,专科,4
351,董经纬,5,5/1/1975,3/1/1981,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,政府_国务院,2820,重工业局,,宣传教育科,,副科长,小于副处,无,专科,5
351,董经纬,6,5/1/1975,3/1/1981,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,政府_国务院,2820,重工业局,,团委,,副书记,小于副处,无,专科,6
351,董经纬,7,7/1/1979,2/1/1980,是,否,130000,河北省,,,,,,学校,81927,河北省委党校,,理论干部训练班,,学员,小于副处,学校,专科,7
351,董经纬,8,3/1/1981,8/1/1985,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,政府_国务院,2792,医药局,,宣传部,,部长,小于副处,无,专科,8
351,董经纬,9,9/1/1982,8/1/1985,是,否,130000,河北省,,,,,,学校,80152,河北省广播电视大学,,,汉语言文学专业,学员,小于副处,学校,本科,9
351,董经纬,10,8/1/1985,9/1/1993,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,地方企业,5755,石家庄第二制药厂,,,,副厂长,副处,无,本科,10
351,董经纬,11,8/1/1985,9/1/1993,否,否,130000,河北省,130100,石家庄市,地级市（区）,,,地方企业,5755,石家庄第二制药厂,,党委,,书记,正处,无,本科,11
351,董经纬,12,8/1/1990,1/1/1993,是,否,310000,上海市,,,,,,学校,31002,复旦大学,,国际政治系,思想政治教育专业,学员,正处,学校,硕士,12
351,董经纬,13,9/1/1993,3/1/1997,否,否,130000,河北省,,,,,,行业协会_人民团体,6600,总工会,,,,副主席,副厅,无,硕士,13
351,董经纬,14,3/1/1997,12/1/2002,否,否,130000,河北省,,,,,,行业协会_人民团体,6600,总工会,,,,党组书记,正厅,无,硕士,14
351,董经纬,15,9/1/1997,7/1/1998,是,否,840000,中央,,,,,,学校,80001,中央党校,,中青年干部培训班,,学员,正厅,学校,硕士,15
351,董经纬,16,12/1/2002,11/1/2008,否,否,130000,河北省,130500,邢台市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,硕士,16
